cloud_cover,humidity,wind_speed,weather_code,sun_alt,moon_alt,moon_illum,visibility
70.9,88.9,5.6,3,-48.07,21.9,0.817,18.82
46.3,60.7,0.3,0,-56.81,9.31,0.598,23.66
3.9,80.8,3.1,71,-62.5,3.4,0.764,8.9
85.5,26.2,21.5,0,-44.8,-35.71,0.02,0.0
87.2,85.9,39.8,80,-16.24,3.18,0.031,0.28
71.1,79.0,17.2,71,51.85,-77.89,0.828,0.0
38.0,37.2,37.1,0,29.47,-56.7,0.463,0.0
28.3,66.6,11.0,2,-51.59,37.36,0.673,48.67
0.1,14.2,12.4,1,-84.12,-61.91,0.048,0.0
41.1,27.2,24.6,0,74.03,56.97,0.063,0.92
30.6,34.1,11.9,0,39.87,-36.99,0.496,0.0
8.1,18.1,21.8,1,-23.61,-2.19,0.04,0.0
52.3,37.2,24.1,2,23.85,-54.17,0.437,0.0
46.0,17.9,5.7,1,-55.43,1.72,0.726,21.45
50.7,78.3,0.6,1,-24.8,-44.12,0.225,0.0
85.8,74.4,18.1,45,46.11,55.22,0.387,0.03
7.4,85.6,18.9,1,4.41,-57.77,0.426,0.0
43.1,85.9,1.9,0,46.49,-76.39,0.796,0.0
25.6,97.5,13.7,48,-57.21,57.77,0.927,3.86
46.5,44.6,22.4,0,64.08,68.79,0.137,0.99
16.6,87.9,13.0,0,-71.95,-35.3,0.266,0.0
83.4,49.4,16.9,0,-12.1,48.26,0.453,9.8
74.6,18.3,13.7,95,-45.46,-59.54,0.242,0.0
21.5,94.7,33.2,1,65.71,80.64,0.076,0.7
11.7,83.9,34.6,3,-57.49,45.25,0.74,56.02
28.8,46.3,34.7,80,33.72,12.9,0.034,0.18
31.5,78.7,20.1,0,-9.95,-39.22,0.651,0.0
36.8,91.0,35.4,95,48.67,-48.42,1.0,0.0
38.4,85.0,34.3,0,2.45,-34.06,0.121,0.0
60.9,45.3,2.1,1,85.72,-1.11,0.51,0.0
9.8,64.9,36.4,63,-44.74,-37.36,0.005,0.0
89.0,47.9,28.3,65,71.61,-42.75,0.933,0.0
20.4,83.1,31.3,3,-74.32,34.69,0.707,48.88
71.5,89.6,17.3,0,-44.53,-0.98,0.156,0.0
85.7,27.4,17.7,80,-18.2,-68.5,0.181,0.0
73.1,22.6,33.2,3,-30.8,-9.68,0.053,0.0
